"protein"	"targetcluster"	"annotcluster"	"categorycluster"	"cluster.ref"	"targetsingle"	"annotsingle"	"categorysingle"	"annot"
"bin_89||F4T1_NODE_20_length_6436_cov_31.125059_12"	"phrog_72"	"NinB/ Orf homologous recombination mediator"	"DNA, RNA and nucleotide metabolism"	"bin_59||F3M_NODE_10_length_11092_cov_7.330887_1"	"phrog_72"	"NinB/ Orf homologous recombination mediator"	"DNA, RNA and nucleotide metabolism"	"NinB/ Orf homologous recombination mediator"
"bin_11||F4T1_NODE_25_length_5540_cov_2.834458_10"	"phrog_72"	"NinB/ Orf homologous recombination mediator"	"DNA, RNA and nucleotide metabolism"	"bin_59||F3M_NODE_10_length_11092_cov_7.330887_1"	"phrog_72"	"NinB/ Orf homologous recombination mediator"	"DNA, RNA and nucleotide metabolism"	"NinB/ Orf homologous recombination mediator"
"bin_23||F3T2_NODE_31_length_4846_cov_2.963473_2"	"phrog_2324"	"Erf-like ssDNA annealing protein"	"DNA, RNA and nucleotide metabolism"	"YP_010109019.1"	"phrog_155"	"Erf-like ssDNA annealing protein"	"DNA, RNA and nucleotide metabolism"	"Erf-like ssDNA annealing protein"
"bin_79||F4M_NODE_15_length_12359_cov_8.118579_6"	"phrog_1907"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"bin_79||F4M_NODE_15_length_12359_cov_8.118579_6"	"phrog_1907"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"DNA polymerase"
"bin_16||F1T2_NODE_36_length_4107_cov_5.687808_2"	"phrog_1907"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"bin_79||F4M_NODE_15_length_12359_cov_8.118579_6"	"phrog_1907"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"DNA polymerase"
"bin_86||F4T2_NODE_7_length_8432_cov_4.607497_9"	"phrog_1907"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"bin_79||F4M_NODE_15_length_12359_cov_8.118579_6"	"phrog_1907"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"DNA polymerase"
"bin_66||F3M_NODE_8_length_11200_cov_22.507941_9"	"phrog_1907"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"bin_79||F4M_NODE_15_length_12359_cov_8.118579_6"	"phrog_1907"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"DNA polymerase"
"bin_15||F1T1_NODE_3_length_34133_cov_11.206438_22"	"phrog_4088"	NA	"unknown function"	"YP_009194073.1"	"phrog_4088"	NA	"unknown function"	"NA"
"bin_57||F2T2_NODE_5_length_34551_cov_33.694979_12"	"phrog_19299"	"terminase large subunit"	"head and packaging"	"YP_008052508.1"	"phrog_10089"	"DarB-like antirestriction"	"moron, auxiliary metabolic gene and host takeover"	"DarB-like antirestriction"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_78"	"phrog_28367"	NA	"unknown function"	"YP_010113243.1"	"phrog_27809"	NA	"unknown function"	"NA"
"bin_33||F2M_NODE_33_length_9735_cov_4.967562_9"	"phrog_62"	"DNA helicase"	"DNA, RNA and nucleotide metabolism"	"YP_009291022.1"	"phrog_62"	"DNA helicase"	"DNA, RNA and nucleotide metabolism"	"DNA helicase"
"bin_26||F4M_NODE_9_length_21262_cov_7.968973_10"	"phrog_62"	"DNA helicase"	"DNA, RNA and nucleotide metabolism"	"YP_009291022.1"	"phrog_62"	"DNA helicase"	"DNA, RNA and nucleotide metabolism"	"DNA helicase"
"bin_25||F2M_NODE_35_length_9690_cov_6.026362_16"	"phrog_93"	"endonuclease"	"DNA, RNA and nucleotide metabolism"	"bin_25||F2M_NODE_35_length_9690_cov_6.026362_16"	"phrog_93"	"endonuclease"	"DNA, RNA and nucleotide metabolism"	"endonuclease"
"bin_36||F2M_NODE_111_length_2954_cov_13.211797_3"	"phrog_93"	"endonuclease"	"DNA, RNA and nucleotide metabolism"	"bin_25||F2M_NODE_35_length_9690_cov_6.026362_16"	"phrog_93"	"endonuclease"	"DNA, RNA and nucleotide metabolism"	"endonuclease"
"bin_78||F4M_NODE_11_length_20080_cov_5.793358_8"	"phrog_868"	"transcriptional activator"	"transcription regulation"	"YP_005098010.1"	"phrog_868"	"transcriptional activator"	"transcription regulation"	"transcriptional activator"
"bin_25||F2M_NODE_35_length_9690_cov_6.026362_18"	"phrog_4291"	"RNA-dependent RNA polymerase"	"DNA, RNA and nucleotide metabolism"	"YP_009859493.1"	"phrog_4291"	"RNA-dependent RNA polymerase"	"DNA, RNA and nucleotide metabolism"	"RNA-dependent RNA polymerase"
"bin_43||F2M_NODE_3_length_45859_cov_9.702144_11"	"phrog_434"	"RecE-like recombination exonuclease"	"DNA, RNA and nucleotide metabolism"	"YP_009303211.1"	"phrog_434"	"RecE-like recombination exonuclease"	"DNA, RNA and nucleotide metabolism"	"RecE-like recombination exonuclease"
"bin_78||F4M_NODE_11_length_20080_cov_5.793358_5"	"phrog_434"	"RecE-like recombination exonuclease"	"DNA, RNA and nucleotide metabolism"	"YP_009303211.1"	"phrog_434"	"RecE-like recombination exonuclease"	"DNA, RNA and nucleotide metabolism"	"RecE-like recombination exonuclease"
"bin_35||F2M_NODE_1_length_53054_cov_5.764014_19"	"phrog_15924"	NA	"unknown function"	"bin_35||F2M_NODE_1_length_53054_cov_5.764014_19"	NA	NA	NA	"NA"
"bin_08||F1T1_NODE_9_length_13674_cov_5.356120_15"	"phrog_15924"	NA	"unknown function"	"bin_35||F2M_NODE_1_length_53054_cov_5.764014_19"	"phrog_15924"	NA	"unknown function"	"NA"
"bin_22||F1T2_NODE_2_length_77290_cov_26.792361_71"	"phrog_77"	"SbcC-like subunit of palindrome specific endonuclease"	"DNA, RNA and nucleotide metabolism"	"YP_009597176.1"	"phrog_77"	"SbcC-like subunit of palindrome specific endonuclease"	"DNA, RNA and nucleotide metabolism"	"SbcC-like subunit of palindrome specific endonuclease"
"bin_00||F1M_NODE_11_length_10844_cov_3.237742_8"	"phrog_6195"	"tail protein"	"tail"	"YP_009325215.1"	"phrog_6195"	"tail protein"	"tail"	"tail protein"
"bin_38||F2T1_NODE_8_length_6558_cov_4.971552_5"	"phrog_6195"	"tail protein"	"tail"	"YP_009325215.1"	"phrog_6195"	"tail protein"	"tail"	"tail protein"
"bin_78||F4M_NODE_11_length_20080_cov_5.793358_9"	"phrog_359"	"DNA methyltransferase"	"other"	"YP_007673232.1"	"phrog_359"	"DNA methyltransferase"	"other"	"DNA methyltransferase"
"bin_23||F2M_NODE_18_length_13684_cov_7.727273_11"	"phrog_4210"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"YP_009852896.1"	"phrog_4210"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"DNA polymerase"
"bin_36||F2M_NODE_58_length_6498_cov_22.529877_6"	"phrog_4210"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"YP_009852896.1"	"phrog_4210"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"DNA polymerase"
"bin_20||F4M_NODE_45_length_2150_cov_3.336993_5"	"phrog_394"	"tail protein"	"tail"	"YP_009007077.1"	"phrog_394"	"tail protein"	"tail"	"tail protein"
"bin_53||F2T2_NODE_13_length_17782_cov_7.428668_24"	"phrog_98"	NA	"unknown function"	"YP_164672.1"	"phrog_98"	NA	"unknown function"	"NA"
"bin_39||F4T1_NODE_7_length_18316_cov_12.186080_7"	"phrog_98"	NA	"unknown function"	"YP_164672.1"	"phrog_98"	NA	"unknown function"	"NA"
"bin_16||F2T2_NODE_31_length_5146_cov_2.359065_7"	"phrog_1449"	NA	"unknown function"	"YP_009875676.1"	"phrog_1449"	NA	"unknown function"	"NA"
"bin_38||F2T1_NODE_4_length_14783_cov_5.242260_3"	"phrog_35885"	NA	"unknown function"	"YP_006560644.1"	"phrog_35885"	NA	"unknown function"	"NA"
"bin_00||F1M_NODE_11_length_10844_cov_3.237742_2"	"phrog_35885"	NA	"unknown function"	"YP_006560644.1"	"phrog_35885"	NA	"unknown function"	"NA"
"bin_78||F4M_NODE_11_length_20080_cov_5.793358_22"	"phrog_7892"	NA	"unknown function"	"bin_78||F4M_NODE_11_length_20080_cov_5.793358_22"	"phrog_7892"	NA	"unknown function"	"NA"
"bin_22||F1T2_NODE_2_length_77290_cov_26.792361_53"	"phrog_16259"	"DNA helicase"	"DNA, RNA and nucleotide metabolism"	"YP_009015703.1"	"phrog_16"	"DNA helicase"	"DNA, RNA and nucleotide metabolism"	"DNA helicase"
"bin_35||F2M_NODE_11_length_20357_cov_5.705743_16"	"phrog_1252"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"YP_010110994.1"	"phrog_1252"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"DNA polymerase"
"bin_03||F4M_NODE_2_length_63054_cov_7.600740_48"	"phrog_27545"	NA	"unknown function"	"YP_010110712.1"	"phrog_27545"	NA	"unknown function"	"NA"
"bin_04||F1M_NODE_4_length_46155_cov_6.789046_59"	"phrog_27545"	NA	"unknown function"	"YP_010110712.1"	"phrog_27545"	NA	"unknown function"	"NA"
"bin_16||F2T2_NODE_52_length_2689_cov_2.431663_1"	"phrog_1429"	"virion structural protein"	"head and packaging"	"YP_010083909.1"	"phrog_1429"	"virion structural protein"	"head and packaging"	"virion structural protein"
"bin_23||F1T2_NODE_20_length_6117_cov_3.414220_2"	"phrog_36410"	NA	"unknown function"	"bin_23||F1T2_NODE_20_length_6117_cov_3.414220_2"	"phrog_36410"	NA	"unknown function"	"NA"
"bin_36||F2M_NODE_8_length_25165_cov_22.640104_11"	"phrog_36410"	NA	"unknown function"	"bin_23||F1T2_NODE_20_length_6117_cov_3.414220_2"	"phrog_36410"	NA	"unknown function"	"NA"
"bin_23||F2M_NODE_6_length_26132_cov_8.647314_20"	"phrog_36410"	NA	"unknown function"	"bin_23||F1T2_NODE_20_length_6117_cov_3.414220_2"	"phrog_36410"	NA	"unknown function"	"NA"
"bin_38||F2M_NODE_52_length_6821_cov_24.749631_3"	"phrog_20660"	"tail length tape measure protein"	"tail"	"YP_009010725.1"	"phrog_20660"	"tail length tape measure protein"	"tail"	"tail length tape measure protein"
"bin_00||F1M_NODE_11_length_10844_cov_3.237742_4"	"phrog_20660"	"tail length tape measure protein"	"tail"	"YP_009010725.1"	"phrog_20660"	"tail length tape measure protein"	"tail"	"tail length tape measure protein"
"bin_38||F2T1_NODE_4_length_14783_cov_5.242260_1"	"phrog_20660"	"tail length tape measure protein"	"tail"	"YP_009010725.1"	"phrog_20660"	"tail length tape measure protein"	"tail"	"tail length tape measure protein"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_93"	"phrog_378"	"single strand DNA binding protein"	"DNA, RNA and nucleotide metabolism"	"YP_010113398.1"	NA	NA	NA	"single strand DNA binding protein"
"bin_22||F1T2_NODE_3_length_67878_cov_24.094643_43"	"phrog_378"	"single strand DNA binding protein"	"DNA, RNA and nucleotide metabolism"	"YP_010113398.1"	"phrog_33482"	NA	"unknown function"	"single strand DNA binding protein"
"bin_22||F1T2_NODE_32_length_4279_cov_35.349905_5"	"phrog_36808"	NA	"unknown function"	"YP_010110633.1"	"phrog_36808"	NA	"unknown function"	"NA"
"bin_42||F2M_NODE_37_length_9407_cov_31.109816_1"	"phrog_14125"	NA	"unknown function"	"bin_42||F2M_NODE_37_length_9407_cov_31.109816_1"	"phrog_14125"	NA	"unknown function"	"NA"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_84"	"phrog_14125"	NA	"unknown function"	"bin_42||F2M_NODE_37_length_9407_cov_31.109816_1"	"phrog_25538"	NA	"unknown function"	"NA"
"bin_45||F4T1_NODE_32_length_4293_cov_12.877875_1"	"phrog_119"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"YP_009874492.1"	"phrog_119"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"HNH endonuclease"
"bin_26||F4M_NODE_9_length_21262_cov_7.968973_25"	"phrog_894"	"endolysin"	"lysis"	"YP_004327143.1"	"phrog_894"	"endolysin"	"lysis"	"endolysin"
"bin_26||F1T2_NODE_4_length_18774_cov_54.245900_19"	"phrog_894"	"endolysin"	"lysis"	"YP_004327143.1"	"phrog_894"	"endolysin"	"lysis"	"endolysin"
"bin_24||F2T2_NODE_9_length_25951_cov_7.477178_7"	"phrog_279"	"tail sheath"	"tail"	"YP_009219418.1"	"phrog_279"	"tail sheath"	"tail"	"tail sheath"
"bin_04||F1M_NODE_3_length_59487_cov_7.401148_21"	"phrog_1770"	"Holliday junction resolvase"	"DNA, RNA and nucleotide metabolism"	"YP_009221591.1"	"phrog_1770"	"Holliday junction resolvase"	"DNA, RNA and nucleotide metabolism"	"Holliday junction resolvase"
"bin_87||F4M_NODE_3_length_55935_cov_12.067484_21"	"phrog_1770"	"Holliday junction resolvase"	"DNA, RNA and nucleotide metabolism"	"YP_009221591.1"	"phrog_1770"	"Holliday junction resolvase"	"DNA, RNA and nucleotide metabolism"	"Holliday junction resolvase"
"bin_17||F4T1_NODE_18_length_8231_cov_5.800391_3"	"phrog_6572"	"ADP-ribosylglycohydrolase"	"other"	"bin_17||F4T1_NODE_18_length_8231_cov_5.800391_3"	"phrog_6572"	"ADP-ribosylglycohydrolase"	"other"	"ADP-ribosylglycohydrolase"
"bin_17||F3M_NODE_12_length_7213_cov_3.918692_15"	"phrog_6572"	"ADP-ribosylglycohydrolase"	"other"	"bin_17||F4T1_NODE_18_length_8231_cov_5.800391_3"	"phrog_6572"	"ADP-ribosylglycohydrolase"	"other"	"ADP-ribosylglycohydrolase"
"bin_17||F1T1_NODE_64_length_2722_cov_2.299963_3"	"phrog_6572"	"ADP-ribosylglycohydrolase"	"other"	"bin_17||F4T1_NODE_18_length_8231_cov_5.800391_3"	"phrog_6572"	"ADP-ribosylglycohydrolase"	"other"	"ADP-ribosylglycohydrolase"
"bin_42||F2M_NODE_37_length_9407_cov_31.109816_15"	NA	NA	NA	"bin_42||F2M_NODE_37_length_9407_cov_31.109816_15"	NA	NA	NA	"NA"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_70"	NA	NA	NA	"bin_42||F2M_NODE_37_length_9407_cov_31.109816_15"	NA	NA	NA	"NA"
"bin_22||F1T2_NODE_3_length_67878_cov_24.094643_33"	"phrog_31720"	NA	"unknown function"	"YP_010110827.1"	"phrog_29716"	NA	"unknown function"	"NA"
"bin_55||F2T2_NODE_18_length_8995_cov_11.509284_19"	"phrog_3754"	NA	"unknown function"	"YP_009010506.1"	"phrog_3754"	NA	"unknown function"	"NA"
"bin_57||F2T2_NODE_5_length_34551_cov_33.694979_35"	"phrog_16423"	NA	"unknown function"	"YP_010112257.1"	"phrog_30313"	NA	"unknown function"	"NA"
"bin_70||F3T2_NODE_3_length_87254_cov_17.672565_51"	"phrog_16423"	NA	"unknown function"	"YP_010112257.1"	"phrog_19700"	NA	"unknown function"	"NA"
"bin_24||F2T2_NODE_17_length_10111_cov_4.236973_10"	"phrog_709"	NA	"unknown function"	"YP_764483.1"	"phrog_709"	NA	"unknown function"	"NA"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_80"	"phrog_2847"	NA	"unknown function"	"YP_010112685.1"	"phrog_21836"	NA	"unknown function"	"NA"
"bin_54||F2T2_NODE_14_length_12054_cov_11.000333_7"	"phrog_1907"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"bin_54||F2T2_NODE_14_length_12054_cov_11.000333_7"	"phrog_1907"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"DNA polymerase"
"bin_67||F3T2_NODE_14_length_17040_cov_17.432028_4"	"phrog_1907"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"bin_54||F2T2_NODE_14_length_12054_cov_11.000333_7"	"phrog_1907"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"DNA polymerase"
"bin_41||F2M_NODE_13_length_16832_cov_10.453120_15"	"phrog_1907"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"bin_54||F2T2_NODE_14_length_12054_cov_11.000333_7"	"phrog_1907"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"DNA polymerase"
"bin_06||F1T1_NODE_11_length_12335_cov_9.844788_1"	"phrog_1907"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"bin_54||F2T2_NODE_14_length_12054_cov_11.000333_7"	"phrog_1907"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"DNA polymerase"
"bin_44||F2M_NODE_43_length_8145_cov_10.350433_10"	"phrog_1907"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"bin_54||F2T2_NODE_14_length_12054_cov_11.000333_7"	"phrog_1907"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"DNA polymerase"
"bin_61||F3M_NODE_29_length_4073_cov_3.882031_1"	"phrog_1907"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"bin_54||F2T2_NODE_14_length_12054_cov_11.000333_7"	"phrog_1907"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"DNA polymerase"
"bin_21||F1T2_NODE_10_length_11571_cov_12.400139_7"	"phrog_1907"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"bin_54||F2T2_NODE_14_length_12054_cov_11.000333_7"	"phrog_1907"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"DNA polymerase"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_24"	"phrog_32706"	NA	"unknown function"	"YP_010110720.1"	"phrog_27246"	NA	"unknown function"	"NA"
"bin_23||F1T2_NODE_46_length_3262_cov_3.152167_5"	"phrog_4270"	NA	"unknown function"	"YP_009797599.1"	"phrog_4270"	NA	"unknown function"	"NA"
"bin_83||F4M_NODE_31_length_3121_cov_2.123614_3"	"phrog_4270"	NA	"unknown function"	"YP_009797599.1"	"phrog_4270"	NA	"unknown function"	"NA"
"bin_23||F2M_NODE_6_length_26132_cov_8.647314_12"	"phrog_4270"	NA	"unknown function"	"YP_009797599.1"	"phrog_4270"	NA	"unknown function"	"NA"
"bin_36||F2M_NODE_8_length_25165_cov_22.640104_20"	"phrog_4270"	NA	"unknown function"	"YP_009797599.1"	"phrog_4270"	NA	"unknown function"	"NA"
"bin_26||F1T2_NODE_4_length_18774_cov_54.245900_5"	"phrog_5902"	NA	"unknown function"	"YP_008241980.1"	"phrog_979"	"terminase large subunit"	"head and packaging"	"terminase large subunit"
"bin_39||F2M_NODE_76_length_4909_cov_3.220849_7"	"phrog_625"	NA	"unknown function"	"YP_009304076.1"	"phrog_625"	NA	"unknown function"	"NA"
"bin_43||F2M_NODE_3_length_45859_cov_9.702144_27"	"phrog_498"	"DNA methyltransferase"	"other"	"YP_008058373.1"	"phrog_498"	"DNA methyltransferase"	"other"	"DNA methyltransferase"
"bin_22||F1T2_NODE_3_length_67878_cov_24.094643_42"	"phrog_124"	"Sak4-like ssDNA annealing protein"	"DNA, RNA and nucleotide metabolism"	"YP_010088131.1"	"phrog_124"	"Sak4-like ssDNA annealing protein"	"DNA, RNA and nucleotide metabolism"	"Sak4-like ssDNA annealing protein"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_92"	"phrog_124"	"Sak4-like ssDNA annealing protein"	"DNA, RNA and nucleotide metabolism"	"YP_010088131.1"	"phrog_124"	"Sak4-like ssDNA annealing protein"	"DNA, RNA and nucleotide metabolism"	"Sak4-like ssDNA annealing protein"
"bin_89||F4T1_NODE_20_length_6436_cov_31.125059_15"	"phrog_50"	"DnaC-like helicase loader"	"DNA, RNA and nucleotide metabolism"	"YP_008058963.1"	"phrog_50"	"DnaC-like helicase loader"	"DNA, RNA and nucleotide metabolism"	"DnaC-like helicase loader"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_6"	"phrog_12177"	NA	"unknown function"	"YP_010111007.1"	"phrog_17241"	NA	"unknown function"	"NA"
"bin_55||F2T2_NODE_18_length_8995_cov_11.509284_11"	"phrog_4980"	"superinfection exclusion"	"moron, auxiliary metabolic gene and host takeover"	"YP_009223129.1"	"phrog_4980"	"superinfection exclusion"	"moron, auxiliary metabolic gene and host takeover"	"superinfection exclusion"
"bin_22||F1T2_NODE_2_length_77290_cov_26.792361_68"	"phrog_107"	"RNaseH"	"DNA, RNA and nucleotide metabolism"	"YP_009224065.1"	"phrog_107"	"RNaseH"	"DNA, RNA and nucleotide metabolism"	"RNaseH"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_59"	"phrog_325"	"Dda-like helicase"	"DNA, RNA and nucleotide metabolism"	"YP_010105048.1"	"phrog_325"	"Dda-like helicase"	"DNA, RNA and nucleotide metabolism"	"Dda-like helicase"
"bin_35||F2M_NODE_11_length_20357_cov_5.705743_6"	"phrog_325"	"Dda-like helicase"	"DNA, RNA and nucleotide metabolism"	"YP_010105048.1"	"phrog_325"	"Dda-like helicase"	"DNA, RNA and nucleotide metabolism"	"Dda-like helicase"
"bin_87||F4M_NODE_3_length_55935_cov_12.067484_38"	"phrog_30348"	NA	"unknown function"	"YP_008241560.1"	"phrog_30348"	NA	"unknown function"	"NA"
"bin_04||F1M_NODE_3_length_59487_cov_7.401148_37"	"phrog_30348"	NA	"unknown function"	"YP_008241560.1"	"phrog_30348"	NA	"unknown function"	"NA"
"bin_23||F3T2_NODE_31_length_4846_cov_2.963473_5"	"phrog_44"	"single strand DNA binding protein"	"DNA, RNA and nucleotide metabolism"	"YP_007005373.1"	"phrog_44"	"single strand DNA binding protein"	"DNA, RNA and nucleotide metabolism"	"single strand DNA binding protein"
"bin_45||F4T1_NODE_32_length_4293_cov_12.877875_11"	"phrog_44"	"single strand DNA binding protein"	"DNA, RNA and nucleotide metabolism"	"YP_007005373.1"	"phrog_44"	"single strand DNA binding protein"	"DNA, RNA and nucleotide metabolism"	"single strand DNA binding protein"
"bin_11||F4T1_NODE_25_length_5540_cov_2.834458_13"	"phrog_44"	"single strand DNA binding protein"	"DNA, RNA and nucleotide metabolism"	"YP_007005373.1"	"phrog_44"	"single strand DNA binding protein"	"DNA, RNA and nucleotide metabolism"	"single strand DNA binding protein"
"bin_11||F1T1_NODE_23_length_6661_cov_3.524372_4"	"phrog_2577"	"transposase"	"integration and excision"	"YP_003773390.1"	"phrog_2577"	"transposase"	"integration and excision"	"transposase"
"bin_24||F2T2_NODE_9_length_25951_cov_7.477178_13"	"phrog_400"	"tail protein"	"tail"	"YP_009219426.1"	"phrog_400"	"tail protein"	"tail"	"tail protein"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_12"	"phrog_15610"	"protease"	"other"	"YP_009443003.1"	"phrog_15610"	"protease"	"other"	"protease"
"bin_20||F4M_NODE_45_length_2150_cov_3.336993_2"	"phrog_427"	NA	"unknown function"	"NP_848216.1"	"phrog_427"	NA	"unknown function"	"NA"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_21"	"phrog_165"	"tail sheath"	"tail"	"YP_010110600.1"	NA	NA	NA	"tail sheath"
"bin_22||F1T2_NODE_7_length_14206_cov_35.101618_4"	"phrog_165"	"tail sheath"	"tail"	"YP_010110600.1"	NA	NA	NA	"tail sheath"
"bin_78||F4M_NODE_11_length_20080_cov_5.793358_13"	"phrog_181"	"endolysin"	"lysis"	"YP_009277044.1"	"phrog_181"	"endolysin"	"lysis"	"endolysin"
"bin_39||F4T1_NODE_13_length_12920_cov_15.385931_11"	"phrog_3301"	"pyrophosphatase"	"other"	"bin_39||F4T1_NODE_13_length_12920_cov_15.385931_11"	"phrog_3301"	"pyrophosphatase"	"other"	"pyrophosphatase"
"bin_25||F2M_NODE_118_length_2849_cov_3.668933_6"	"phrog_3301"	"pyrophosphatase"	"other"	"bin_39||F4T1_NODE_13_length_12920_cov_15.385931_11"	"phrog_18176"	NA	"unknown function"	"pyrophosphatase"
"bin_70||F3T2_NODE_3_length_87254_cov_17.672565_7"	"phrog_3301"	"pyrophosphatase"	"other"	"bin_39||F4T1_NODE_13_length_12920_cov_15.385931_11"	"phrog_18176"	NA	"unknown function"	"pyrophosphatase"
"bin_38||F2M_NODE_42_length_8193_cov_14.303391_2"	"phrog_7970"	"virion structural protein"	"head and packaging"	"YP_006560632.1"	"phrog_7970"	"virion structural protein"	"head and packaging"	"virion structural protein"
"bin_38||F2T1_NODE_8_length_6558_cov_4.971552_8"	"phrog_7970"	"virion structural protein"	"head and packaging"	"YP_006560632.1"	"phrog_7970"	"virion structural protein"	"head and packaging"	"virion structural protein"
"bin_00||F1M_NODE_32_length_2934_cov_3.667593_5"	"phrog_7970"	"virion structural protein"	"head and packaging"	"YP_006560632.1"	"phrog_7970"	"virion structural protein"	"head and packaging"	"virion structural protein"
"bin_00||F1M_NODE_34_length_2429_cov_2.721988_2"	"phrog_9513"	NA	"unknown function"	"YP_009855438.1"	"phrog_9513"	NA	"unknown function"	"NA"
"bin_38||F2T1_NODE_5_length_9843_cov_5.227523_14"	"phrog_9513"	NA	"unknown function"	"YP_009855438.1"	"phrog_6141"	NA	"unknown function"	"NA"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_47"	"phrog_3223"	NA	"unknown function"	"YP_010111277.1"	NA	NA	NA	"NA"
"bin_53||F3M_NODE_47_length_2282_cov_2.325999_4"	"phrog_706"	NA	"unknown function"	"bin_53||F3M_NODE_47_length_2282_cov_2.325999_4"	"phrog_706"	NA	"unknown function"	"NA"
"bin_11||F1T2_NODE_59_length_2719_cov_2.877252_4"	"phrog_706"	NA	"unknown function"	"bin_53||F3M_NODE_47_length_2282_cov_2.325999_4"	"phrog_706"	NA	"unknown function"	"NA"
"bin_38||F2T1_NODE_6_length_7108_cov_4.665674_8"	"phrog_1499"	NA	"unknown function"	"YP_009885122.1"	"phrog_1499"	NA	"unknown function"	"NA"
"bin_38||F2M_NODE_62_length_6069_cov_13.771866_6"	"phrog_1499"	NA	"unknown function"	"YP_009885122.1"	"phrog_1499"	NA	"unknown function"	"NA"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_14"	"phrog_34584"	NA	"unknown function"	"YP_010110514.1"	"phrog_26249"	NA	"unknown function"	"NA"
"bin_42||F2M_NODE_37_length_9407_cov_31.109816_3"	"phrog_11651"	NA	"unknown function"	"YP_009052515.2"	"phrog_11651"	NA	"unknown function"	"NA"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_82"	"phrog_11651"	NA	"unknown function"	"YP_009052515.2"	"phrog_11651"	NA	"unknown function"	"NA"
"bin_43||F2M_NODE_3_length_45859_cov_9.702144_21"	"phrog_6360"	NA	"unknown function"	"YP_009824265.1"	"phrog_6360"	NA	"unknown function"	"NA"
"bin_52||F2T2_NODE_11_length_21601_cov_16.946162_1"	"phrog_2328"	"transcriptional repressor"	"transcription regulation"	"bin_52||F2T2_NODE_11_length_21601_cov_16.946162_1"	"phrog_7396"	NA	"unknown function"	"transcriptional repressor"
"bin_09||F1T1_NODE_17_length_9589_cov_4.511223_6"	"phrog_2328"	"transcriptional repressor"	"transcription regulation"	"bin_52||F2T2_NODE_11_length_21601_cov_16.946162_1"	"phrog_2328"	"transcriptional repressor"	"transcription regulation"	"transcriptional repressor"
"bin_17||F3M_NODE_12_length_7213_cov_3.918692_11"	"phrog_3474"	NA	"unknown function"	"YP_009824404.1"	"phrog_3474"	NA	"unknown function"	"NA"
"bin_17||F4T1_NODE_18_length_8231_cov_5.800391_7"	"phrog_3474"	NA	"unknown function"	"YP_009824404.1"	"phrog_3474"	NA	"unknown function"	"NA"
"bin_12||F1T1_NODE_25_length_6194_cov_4.898029_3"	"phrog_894"	"endolysin"	"lysis"	"bin_12||F1T1_NODE_25_length_6194_cov_4.898029_3"	"phrog_894"	"endolysin"	"lysis"	"endolysin"
